name,stereo
1_i_1_A,76
1_i_1_B,40
1_i_1_C,50
1_i_1_D,78
1_i_1_E,80
1_i_2_A,76
1_i_2_B,40
1_i_2_C,54
1_i_2_D,74
1_i_2_E,78
1_i_3_A,74
1_i_3_B,38
1_i_3_C,48
1_i_3_D,74
1_i_3_E,74
1_i_4_A,78
1_i_4_B,20
1_i_4_C,44
1_i_4_D,72
1_i_4_E,74
1_i_5_A,76
1_i_5_B,32
1_i_5_C,44
1_i_5_D,80
1_i_5_E,70
144_i_1_A,86
144_i_1_B,68
144_i_1_C,72
144_i_1_D,82
144_i_1_E,88
144_i_2_A,84
144_i_2_B,72
144_i_2_C,60
144_i_2_D,82
144_i_2_E,84
144_i_3_A,78
144_i_3_B,60
144_i_3_C,64
144_i_3_D,86
144_i_3_E,88
144_i_4_A,90
144_i_4_B,62
144_i_4_C,70
144_i_4_D,82
144_i_4_E,84
144_i_5_A,88
144_i_5_B,60
144_i_5_C,64
144_i_5_D,84
144_i_5_E,86
145_i_1_A,90
145_i_1_B,78
145_i_1_C,70
145_i_1_D,94
145_i_1_E,94
145_i_2_A,86
145_i_2_B,76
145_i_2_C,84
145_i_2_D,96
145_i_2_E,88
145_i_3_A,82
145_i_3_B,60
145_i_3_C,82
145_i_3_D,84
145_i_3_E,80
145_i_4_A,90
145_i_4_B,56
145_i_4_C,72
145_i_4_D,92
145_i_4_E,94
145_i_5_A,90
145_i_5_B,70
145_i_5_C,86
145_i_5_D,92
145_i_5_E,92
147_i_1_A,99
147_i_1_B,90
147_i_1_C,92
147_i_1_D,99
147_i_1_E,99
147_i_2_A,94
147_i_2_B,86
147_i_2_C,86
147_i_2_D,90
147_i_2_E,94
147_i_3_A,99
147_i_3_B,88
147_i_3_C,90
147_i_3_D,94
147_i_3_E,96
147_i_4_A,98
147_i_4_B,80
147_i_4_C,90
147_i_4_D,99
147_i_4_E,96
147_i_5_A,96
147_i_5_B,80
147_i_5_C,90
147_i_5_D,99
147_i_5_E,96
157_i_1_A,76
157_i_1_B,52
157_i_1_C,52
157_i_1_D,82
157_i_1_E,74
157_i_2_A,82
157_i_2_B,36
157_i_2_C,36
157_i_2_D,82
157_i_2_E,80
157_i_3_A,82
157_i_3_B,32
157_i_3_C,42
157_i_3_D,80
157_i_3_E,74
157_i_4_A,80
157_i_4_B,34
157_i_4_C,44
157_i_4_D,76
157_i_4_E,74
157_i_5_A,72
157_i_5_B,26
157_i_5_C,42
157_i_5_D,72
157_i_5_E,72
166_i_1_A,99
166_i_1_B,92
166_i_1_C,86
166_i_1_D,94
166_i_1_E,96
166_i_2_A,99
166_i_2_B,86
166_i_2_C,96
166_i_2_D,99
166_i_2_E,94
166_i_3_A,94
166_i_3_B,88
166_i_3_C,90
166_i_3_D,99
166_i_3_E,99
166_i_4_A,99
166_i_4_B,80
166_i_4_C,90
166_i_4_D,99
166_i_4_E,99
166_i_5_A,99
166_i_5_B,76
166_i_5_C,94
166_i_5_D,99
166_i_5_E,99
181_i_1_A,68
181_i_1_B,46
181_i_1_C,44
181_i_1_D,76
181_i_1_E,72
181_i_2_A,74
181_i_2_B,42
181_i_2_C,46
181_i_2_D,68
181_i_2_E,80
181_i_3_A,78
181_i_3_B,36
181_i_3_C,52
181_i_3_D,76
181_i_3_E,76
181_i_4_A,76
181_i_4_B,34
181_i_4_C,46
181_i_4_D,74
181_i_4_E,74
181_i_5_A,72
181_i_5_B,28
181_i_5_C,40
181_i_5_D,72
181_i_5_E,76
182_i_1_A,84
182_i_1_B,40
182_i_1_C,42
182_i_1_D,80
182_i_1_E,80
182_i_2_A,84
182_i_2_B,56
182_i_2_C,60
182_i_2_D,82
182_i_2_E,86
182_i_3_A,86
182_i_3_B,60
182_i_3_C,62
182_i_3_D,84
182_i_3_E,80
182_i_4_A,84
182_i_4_B,36
182_i_4_C,60
182_i_4_D,82
182_i_4_E,84
182_i_5_A,78
182_i_5_B,48
182_i_5_C,54
182_i_5_D,82
182_i_5_E,82
202_i_1_A,32
202_i_1_B,-12
202_i_1_C,-12
202_i_1_D,30
202_i_1_E,20
202_i_2_A,40
202_i_2_B,-22
202_i_2_C,-10
202_i_2_D,22
202_i_2_E,24
202_i_3_A,14
202_i_3_B,-16
202_i_3_C,56
202_i_3_D,20
202_i_3_E,16
202_i_4_A,42
202_i_4_B,-20
202_i_4_C,2
202_i_4_D,16
202_i_4_E,14
202_i_5_A,30
202_i_5_B,-34
202_i_5_C,-20
202_i_5_D,36
202_i_5_E,18
205_i_1_A,44
205_i_1_B,-30
205_i_1_C,-10
205_i_1_D,44
205_i_1_E,28
205_i_2_A,52
205_i_2_B,-20
205_i_2_C,-6
205_i_2_D,30
205_i_2_E,44
205_i_3_A,50
205_i_3_B,-24
205_i_3_C,-18
205_i_3_D,50
205_i_3_E,42
205_i_4_A,48
205_i_4_B,-14
205_i_4_C,-26
205_i_4_D,46
205_i_4_E,22
205_i_5_A,46
205_i_5_B,-20
205_i_5_C,-16
205_i_5_D,38
205_i_5_E,48
207_i_1_A,40
207_i_1_B,24
207_i_1_C,32
207_i_1_D,44
207_i_1_E,46
207_i_2_A,60
207_i_2_B,22
207_i_2_C,30
207_i_2_D,50
207_i_2_E,60
207_i_3_A,56
207_i_3_B,24
207_i_3_C,32
207_i_3_D,50
207_i_3_E,56
207_i_4_A,58
207_i_4_B,18
207_i_4_C,38
207_i_4_D,56
207_i_4_E,54
207_i_5_A,56
207_i_5_B,20
207_i_5_C,28
207_i_5_D,46
207_i_5_E,52
210_i_1_A,30
210_i_1_B,-10
210_i_1_C,-12
210_i_1_D,30
210_i_1_E,25
210_i_2_A,41
210_i_2_B,-18
210_i_2_C,-7
210_i_2_D,20
210_i_2_E,22
210_i_3_A,16
210_i_3_B,-16
210_i_3_C,-4
210_i_3_D,22
210_i_3_E,14
210_i_4_A,42
210_i_4_B,-16
210_i_4_C,2
210_i_4_D,12
210_i_4_E,10
210_i_5_A,26
210_i_5_B,-22
210_i_5_C,-14
210_i_5_D,32
210_i_5_E,20
223_i_1_A,60
223_i_1_B,34
223_i_1_C,36
223_i_1_D,56
223_i_1_E,60
223_i_2_A,56
223_i_2_B,24
223_i_2_C,30
223_i_2_D,62
223_i_2_E,60
223_i_3_A,50
223_i_3_B,34
223_i_3_C,28
223_i_3_D,60
223_i_3_E,62
223_i_4_A,50
223_i_4_B,22
223_i_4_C,20
223_i_4_D,62
223_i_4_E,60
223_i_5_A,70
223_i_5_B,18
223_i_5_C,20
223_i_5_D,64
223_i_5_E,66
229_i_1_A,86
229_i_1_B,40
229_i_1_C,42
229_i_1_D,72
229_i_1_E,78
229_i_2_A,82
229_i_2_B,82
229_i_2_C,46
229_i_2_D,50
229_i_2_E,82
229_i_3_A,82
229_i_3_B,44
229_i_3_C,50
229_i_3_D,76
229_i_3_E,76
229_i_4_A,86
229_i_4_B,40
229_i_4_C,48
229_i_4_D,84
229_i_4_E,82
229_i_5_A,78
229_i_5_B,42
229_i_5_C,44
229_i_5_D,76
229_i_5_E,80
229_vi_1_A,82
229_vi_1_B,44
229_vi_1_C,44
229_vi_1_D,76
229_vi_1_E,76
229_vi_2_A,80
229_vi_2_B,80
229_vi_2_C,40
229_vi_2_D,48
229_vi_2_E,80
229_vi_3_A,82
229_vi_3_B,46
229_vi_3_C,54
229_vi_3_D,78
229_vi_3_E,74
229_vi_4_A,84
229_vi_4_B,38
229_vi_4_C,48
229_vi_4_D,84
229_vi_4_E,82
229_vi_5_A,80
229_vi_5_B,40
229_vi_5_C,44
229_vi_5_D,78
229_vi_5_E,82
230_i_1_A,80
230_i_1_B,36
230_i_1_C,44
230_i_1_D,76
230_i_1_E,78
230_i_2_A,84
230_i_2_B,60
230_i_2_C,60
230_i_2_D,86
230_i_2_E,90
230_i_3_A,86
230_i_3_B,62
230_i_3_C,60
230_i_3_D,80
230_i_3_E,80
230_i_4_A,86
230_i_4_B,40
230_i_4_C,66
230_i_4_D,84
230_i_4_E,86
230_i_5_A,78
230_i_5_B,44
230_i_5_C,54
230_i_5_D,86
230_i_5_E,84
242_i_1_A,34
242_i_1_B,30
242_i_1_C,32
242_i_1_D,44
242_i_1_E,28
242_i_2_A,30
242_i_2_B,-12
242_i_2_C,10
242_i_2_D,22
242_i_2_E,24
242_i_3_A,14
242_i_3_B,-6
242_i_3_C,56
242_i_3_D,20
242_i_3_E,16
242_i_4_A,42
242_i_4_B,-20
242_i_4_C,2
242_i_4_D,16
242_i_4_E,14
242_i_5_A,26
242_i_5_B,4
242_i_5_C,0
242_i_5_D,40
242_i_5_E,18
242_vi_1_A,32
242_vi_1_B,30
242_vi_1_C,34
242_vi_1_D,40
242_vi_1_E,30
242_vi_2_A,28
242_vi_2_B,-10
242_vi_2_C,10
242_vi_2_D,20
242_vi_2_E,24
242_vi_3_A,14
242_vi_3_B,-8
242_vi_3_C,42
242_vi_3_D,26
242_vi_3_E,20
242_vi_4_A,40
242_vi_4_B,-22
242_vi_4_C,0
242_vi_4_D,14
242_vi_4_E,14
242_vi_5_A,26
242_vi_5_B,0
242_vi_5_C,0
242_vi_5_D,38
242_vi_5_E,20
245_i_1_A,20
245_i_1_B,0
245_i_1_C,2
245_i_1_D,22
245_i_1_E,12
245_i_2_A,12
245_i_2_B,0
245_i_2_C,2
245_i_2_D,14
245_i_2_E,16
245_i_3_A,20
245_i_3_B,4
245_i_3_C,-4
245_i_3_D,18
245_i_3_E,16
245_i_4_A,16
245_i_4_B,2
245_i_4_C,4
245_i_4_D,14
245_i_4_E,12
245_i_5_A,16
245_i_5_B,2
245_i_5_C,0
245_i_5_D,18
245_i_5_E,12
245_vi_1_A,16
245_vi_1_B,4
245_vi_1_C,4
245_vi_1_D,20
245_vi_1_E,10
245_vi_2_A,12
245_vi_2_B,0
245_vi_2_C,2
245_vi_2_D,10
245_vi_2_E,12
245_vi_3_A,20
245_vi_3_B,-2
245_vi_3_C,0
245_vi_3_D,16
245_vi_3_E,14
245_vi_4_A,16
245_vi_4_B,2
245_vi_4_C,4
245_vi_4_D,10
245_vi_4_E,12
245_vi_5_A,8
245_vi_5_B,2
245_vi_5_C,-2
245_vi_5_D,10
245_vi_5_E,10
246_vi_1_A,4
246_vi_1_B,0
246_vi_1_C,2
246_vi_1_D,10
246_vi_1_E,-4
246_vi_2_A,-2
246_vi_2_B,2
246_vi_2_C,4
246_vi_2_D,0
246_vi_2_E,0
246_vi_3_A,-4
246_vi_3_B,12
246_vi_3_C,-4
246_vi_3_D,16
246_vi_3_E,4
246_vi_4_A,10
246_vi_4_B,-6
246_vi_4_C,-2
246_vi_4_D,0
246_vi_4_E,6
246_vi_5_A,8
246_vi_5_B,0
246_vi_5_C,2
246_vi_5_D,10
246_vi_5_E,10
249_i_1_A,84
249_i_1_B,48
249_i_1_C,50
249_i_1_D,70
249_i_1_E,82
249_i_2_A,82
249_i_2_B,80
249_i_2_C,42
249_i_2_D,54
249_i_2_E,80
249_i_3_A,78
249_i_3_B,40
249_i_3_C,46
249_i_3_D,74
249_i_3_E,78
249_i_4_A,82
249_i_4_B,42
249_i_4_C,46
249_i_4_D,82
249_i_4_E,78
249_i_5_A,76
249_i_5_B,38
249_i_5_C,40
249_i_5_D,74
249_i_5_E,78
251_vi_1_A,88
251_vi_1_B,46
251_vi_1_C,44
251_vi_1_D,90
251_vi_1_E,82
251_vi_2_A,86
251_vi_2_B,60
251_vi_2_C,62
251_vi_2_D,86
251_vi_2_E,88
251_vi_3_A,86
251_vi_3_B,56
251_vi_3_C,62
251_vi_3_D,86
251_vi_3_E,80
251_vi_4_A,88
251_vi_4_B,46
251_vi_4_C,58
251_vi_4_D,84
251_vi_4_E,84
251_vi_5_A,80
251_vi_5_B,52
251_vi_5_C,52
251_vi_5_D,88
251_vi_5_E,80
253_i_1_A,99
253_i_1_B,84
253_i_1_C,84
253_i_1_D,98
253_i_1_E,96
253_i_2_A,98
253_i_2_B,76
253_i_2_C,78
253_i_2_D,98
253_i_2_E,99
253_i_3_A,99
253_i_3_B,78
253_i_3_C,80
253_i_3_D,99
253_i_3_E,99
253_i_4_A,99
253_i_4_B,80
253_i_4_C,84
253_i_4_D,99
253_i_4_E,98
253_i_5_A,98
253_i_5_B,76
253_i_5_C,78
253_i_5_D,96
253_i_5_E,98
262_vi_1_A,22
262_vi_1_B,-10
262_vi_1_C,0
262_vi_1_D,10
262_vi_1_E,10
262_vi_2_A,20
262_vi_2_B,-10
262_vi_2_C,2
262_vi_2_D,22
262_vi_2_E,26
262_vi_3_A,20
262_vi_3_B,-8
262_vi_3_C,-4
262_vi_3_D,24
262_vi_3_E,16
262_vi_4_A,52
262_vi_4_B,-6
262_vi_4_C,12
262_vi_4_D,28
262_vi_4_E,24
262_vi_5_A,34
262_vi_5_B,-20
262_vi_5_C,4
262_vi_5_D,16
262_vi_5_E,24
276_i_1_A,96
276_i_1_B,74
276_i_1_C,74
276_i_1_D,94
276_i_1_E,96
276_i_2_A,94
276_i_2_B,84
276_i_2_C,80
276_i_2_D,96
276_i_2_E,98
276_i_3_A,96
276_i_3_B,76
276_i_3_C,80
276_i_3_D,96
276_i_3_E,99
276_i_4_A,99
276_i_4_B,72
276_i_4_C,76
276_i_4_D,99
276_i_4_E,96
276_i_5_A,92
276_i_5_B,74
276_i_5_C,68
276_i_5_D,96
276_i_5_E,98
286_vi_1_A,89
286_vi_1_B,77
286_vi_1_C,73
286_vi_1_D,93
286_vi_1_E,92
286_vi_2_A,87
286_vi_2_B,75
286_vi_2_C,85
286_vi_2_D,97
286_vi_2_E,89
286_vi_3_A,84
286_vi_3_B,66
286_vi_3_C,82
286_vi_3_D,85
286_vi_3_E,81
286_vi_4_A,90
286_vi_4_B,61
286_vi_4_C,74
286_vi_4_D,94
286_vi_4_E,94
286_vi_5_A,93
286_vi_5_B,73
286_vi_5_C,86
286_vi_5_D,94
286_vi_5_E,92
29_i_1_A,74
29_i_1_B,50
29_i_1_C,44
29_i_1_D,78
29_i_1_E,70
29_i_2_A,80
29_i_2_B,32
29_i_2_C,32
29_i_2_D,80
29_i_2_E,80
29_i_3_A,80
29_i_3_B,36
29_i_3_C,42
29_i_3_D,78
29_i_3_E,74
29_i_4_A,78
29_i_4_B,32
29_i_4_C,40
29_i_4_D,74
29_i_4_E,70
29_i_5_A,72
29_i_5_B,28
29_i_5_C,40
29_i_5_D,70
29_i_5_E,72
328_i_1_A,90
328_i_1_B,56
328_i_1_C,62
328_i_1_D,74
328_i_1_E,92
328_i_2_A,82
328_i_2_B,62
328_i_2_C,84
328_i_2_D,80
328_i_2_E,78
328_i_3_A,86
328_i_3_B,60
328_i_3_C,90
328_i_3_D,90
328_i_3_E,94
328_i_4_A,84
328_i_4_B,54
328_i_4_C,68
328_i_4_D,80
328_i_4_E,72
328_i_5_A,88
328_i_5_B,76
328_i_5_C,76
328_i_5_D,74
328_i_5_E,80
365_i_1_A,78
365_i_1_B,36
365_i_1_C,44
365_i_1_D,82
365_i_1_E,84
365_i_2_A,76
365_i_2_B,44
365_i_2_C,52
365_i_2_D,80
365_i_2_E,82
365_i_3_A,84
365_i_3_B,58
365_i_3_C,54
365_i_3_D,84
365_i_3_E,84
365_i_4_A,78
365_i_4_B,40
365_i_4_C,46
365_i_4_D,86
365_i_4_E,82
365_i_5_A,76
365_i_5_B,38
365_i_5_C,46
365_i_5_D,78
365_i_5_E,82
365_vi_1_A,76
365_vi_1_B,36
365_vi_1_C,42
365_vi_1_D,78
365_vi_1_E,80
365_vi_2_A,78
365_vi_2_B,42
365_vi_2_C,46
365_vi_2_D,70
365_vi_2_E,74
365_vi_3_A,82
365_vi_3_B,48
365_vi_3_C,54
365_vi_3_D,74
365_vi_3_E,80
365_vi_4_A,76
365_vi_4_B,38
365_vi_4_C,40
365_vi_4_D,80
365_vi_4_E,76
365_vi_5_A,76
365_vi_5_B,38
365_vi_5_C,44
365_vi_5_D,76
365_vi_5_E,78
371_i_1_A,78
371_i_1_B,50
371_i_1_C,60
371_i_1_D,80
371_i_1_E,84
371_i_2_A,68
371_i_2_B,40
371_i_2_C,60
371_i_2_D,74
371_i_2_E,80
371_i_3_A,74
371_i_3_B,68
371_i_3_C,72
371_i_3_D,74
371_i_3_E,74
371_i_4_A,84
371_i_4_B,20
371_i_4_C,44
371_i_4_D,62
371_i_4_E,74
371_i_5_A,76
371_i_5_B,50
371_i_5_C,58
371_i_5_D,80
371_i_5_E,70
382_i_1_A,86
382_i_1_B,42
382_i_1_C,60
382_i_1_D,84
382_i_1_E,78
382_i_2_A,88
382_i_2_B,46
382_i_2_C,56
382_i_2_D,92
382_i_2_E,78
382_i_3_A,76
382_i_3_B,50
382_i_3_C,58
382_i_3_D,80
382_i_3_E,80
382_i_4_A,90
382_i_4_B,44
382_i_4_C,40
382_i_4_D,82
382_i_4_E,84
382_i_5_A,84
382_i_5_B,38
382_i_5_C,44
382_i_5_D,78
382_i_5_E,80
5_i_1_A,92
5_i_1_B,76
5_i_1_C,80
5_i_1_D,86
5_i_1_E,86
5_i_2_A,88
5_i_2_B,74
5_i_2_C,78
5_i_2_D,84
5_i_2_E,92
5_i_3_A,84
5_i_3_B,44
5_i_3_C,70
5_i_3_D,94
5_i_3_E,92
5_i_4_A,96
5_i_4_B,80
5_i_4_C,72
5_i_4_D,92
5_i_4_E,96
5_i_5_A,80
5_i_5_B,72
5_i_5_C,52
5_i_5_D,90
5_i_5_E,90
61_i_1_A,82
61_i_1_B,36
61_i_1_C,44
61_i_1_D,82
61_i_1_E,84
61_i_2_A,80
61_i_2_B,42
61_i_2_C,42
61_i_2_D,82
61_i_2_E,86
61_i_3_A,60
61_i_3_B,44
61_i_3_C,50
61_i_3_D,82
61_i_3_E,80
61_i_4_A,70
61_i_4_B,33
61_i_4_C,36
61_i_4_D,76
61_i_4_E,78
61_i_5_A,82
61_i_5_B,54
61_i_5_C,52
61_i_5_D,78
61_i_5_E,80
7_i_1_A,74
7_i_1_B,44
7_i_1_C,72
7_i_1_D,84
7_i_1_E,86
7_i_2_A,90
7_i_2_B,50
7_i_2_C,74
7_i_2_D,96
7_i_2_E,98
7_i_3_A,74
7_i_3_B,14
7_i_3_C,56
7_i_3_D,78
7_i_3_E,82
7_i_4_A,90
7_i_4_B,50
7_i_4_C,90
7_i_4_D,96
7_i_4_E,98
7_i_5_A,90
7_i_5_B,36
7_i_5_C,60
7_i_5_D,84
7_i_5_E,96
71_vi_1_A,90
71_vi_1_B,60
71_vi_1_C,60
71_vi_1_D,84
71_vi_1_E,76
71_vi_2_A,90
71_vi_2_B,56
71_vi_2_C,62
71_vi_2_D,90
71_vi_2_E,78
71_vi_3_A,78
71_vi_3_B,58
71_vi_3_C,60
71_vi_3_D,86
71_vi_3_E,80
71_vi_4_A,94
71_vi_4_B,44
71_vi_4_C,50
71_vi_4_D,90
71_vi_4_E,88
71_vi_5_A,84
71_vi_5_B,40
71_vi_5_C,50
71_vi_5_D,84
71_vi_5_E,82
72_i_1_A,72
72_i_1_B,44
72_i_1_C,46
72_i_1_D,78
72_i_1_E,72
72_i_2_A,82
72_i_2_B,34
72_i_2_C,34
72_i_2_D,82
72_i_2_E,80
72_i_3_A,80
72_i_3_B,32
72_i_3_C,46
72_i_3_D,74
72_i_3_E,78
72_i_4_A,80
72_i_4_B,36
72_i_4_C,46
72_i_4_D,76
72_i_4_E,78
72_i_5_A,76
72_i_5_B,30
72_i_5_C,46
72_i_5_D,72
72_i_5_E,74
73_i_1_A,84
73_i_1_B,48
73_i_1_C,50
73_i_1_D,76
73_i_1_E,80
73_i_2_A,80
73_i_2_B,36
73_i_2_C,54
73_i_2_D,80
73_i_2_E,80
73_i_3_A,64
73_i_3_B,48
73_i_3_C,38
73_i_3_D,74
73_i_3_E,78
73_i_4_A,74
73_i_4_B,44
73_i_4_C,40
73_i_4_D,74
73_i_4_E,78
73_i_5_A,80
73_i_5_B,40
73_i_5_C,50
73_i_5_D,78
73_i_5_E,76
76_vi_1_A,74
76_vi_1_B,50
76_vi_1_C,52
76_vi_1_D,78
76_vi_1_E,80
76_vi_2_A,72
76_vi_2_B,42
76_vi_2_C,50
76_vi_2_D,74
76_vi_2_E,82
76_vi_3_A,76
76_vi_3_B,44
76_vi_3_C,50
76_vi_3_D,80
76_vi_3_E,74
76_vi_4_A,78
76_vi_4_B,42
76_vi_4_C,48
76_vi_4_D,82
76_vi_4_E,76
76_vi_5_A,70
76_vi_5_B,48
76_vi_5_C,56
76_vi_5_D,72
76_vi_5_E,74
87_i_1_A,88
87_i_1_B,79
87_i_1_C,75
87_i_1_D,92
87_i_1_E,91
87_i_2_A,88
87_i_2_B,77
87_i_2_C,85
87_i_2_D,97
87_i_2_E,90
87_i_3_A,86
87_i_3_B,71
87_i_3_C,82
87_i_3_D,86
87_i_3_E,81
87_i_4_A,90
87_i_4_B,62
87_i_4_C,75
87_i_4_D,94
87_i_4_E,94
87_i_5_A,93
87_i_5_B,72
87_i_5_C,86
87_i_5_D,96
87_i_5_E,92
99_i_1_A,75
99_i_1_B,40
99_i_1_C,32
99_i_1_D,83
99_i_1_E,81
99_i_2_A,83
99_i_2_B,60
99_i_2_C,52
99_i_2_D,72
99_i_2_E,79
99_i_3_A,75
99_i_3_B,37
99_i_3_C,18
99_i_3_D,81
99_i_3_E,82
99_i_4_A,72
99_i_4_B,25
99_i_4_C,33
99_i_4_D,73
99_i_4_E,73
99_i_5_A,80
99_i_5_B,21
99_i_5_C,41
99_i_5_D,63
99_i_5_E,68
99_vi_1_A,86
99_vi_1_B,50
99_vi_1_C,56
99_vi_1_D,68
99_vi_1_E,86
99_vi_2_A,76
99_vi_2_B,30
99_vi_2_C,40
99_vi_2_D,74
99_vi_2_E,82
99_vi_3_A,76
99_vi_3_B,38
99_vi_3_C,30
99_vi_3_D,78
99_vi_3_E,70
99_vi_4_A,80
99_vi_4_B,36
99_vi_4_C,52
99_vi_4_D,72
99_vi_4_E,70
99_vi_5_A,82
99_vi_5_B,28
99_vi_5_C,48
99_vi_5_D,74
99_vi_5_E,70
